order_date,order_month,order_year,release_date,brand,sneaker_name,shoe_size,sale_price,retail_price,profit,buyer_region
2018-12-23,December,2018,2016-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Green,13.0,450.0,220.0,230.0,New York
2018-12-23,December,2018,2017-12-16, Yeezy,Adidas Yeezy Boost 350 V2 Blue Tint,13.0,405.0,220.0,185.0,Texas
2018-12-23,December,2018,2017-12-16, Yeezy,Adidas Yeezy Boost 350 V2 Blue Tint,4.0,350.0,220.0,130.0,New York
2018-12-23,December,2018,2017-12-16, Yeezy,Adidas Yeezy Boost 350 V2 Blue Tint,10.5,380.0,220.0,160.0,Oregon
2018-12-23,December,2018,2017-12-16, Yeezy,Adidas Yeezy Boost 350 V2 Blue Tint,14.0,405.0,220.0,185.0,Michigan
2018-12-23,December,2018,2017-11-25, Yeezy,Adidas Yeezy Boost 350 V2 Beluga 2pt0,12.0,436.0,220.0,216.0,New York
2018-12-23,December,2018,2017-11-25, Yeezy,Adidas Yeezy Boost 350 V2 Beluga 2pt0,9.0,365.0,220.0,145.0,Tennessee
2018-12-23,December,2018,2017-11-25, Yeezy,Adidas Yeezy Boost 350 V2 Beluga 2pt0,8.0,422.0,220.0,202.0,Kansas
2018-12-23,December,2018,2017-11-25, Yeezy,Adidas Yeezy Boost 350 V2 Beluga 2pt0,9.0,400.0,220.0,180.0,New York
2018-12-23,December,2018,2017-11-25, Yeezy,Adidas Yeezy Boost 350 V2 Beluga 2pt0,9.5,420.0,220.0,200.0,California
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,8.5,327.0,220.0,107.0,California
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,11.0,235.0,220.0,15.0,California
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,9.5,240.0,220.0,20.0,Florida
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,14.0,270.0,220.0,50.0,Texas
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,11.0,244.0,220.0,24.0,California
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,11.0,230.0,220.0,10.0,New York
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,10.0,244.0,220.0,24.0,California
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,10.5,250.0,220.0,30.0,North Carolina
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,9.5,221.0,220.0,1.0,Wisconsin
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,7.0,249.0,220.0,29.0,Kentucky
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,11.0,225.0,220.0,5.0,Arizona
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,13.0,270.0,220.0,50.0,Florida
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,10.5,240.0,220.0,20.0,New York
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,7.0,250.0,220.0,30.0,New Jersey
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,9.5,240.0,220.0,20.0,Alabama
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,9.5,237.0,220.0,17.0,Illinois
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,10.0,244.0,220.0,24.0,California
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,9.5,233.0,220.0,13.0,New York
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,12.0,260.0,220.0,40.0,Tennessee
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,8.5,240.0,220.0,20.0,Virginia
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,11.0,246.0,220.0,26.0,California
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,12.0,265.0,220.0,45.0,Pennsylvania
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,7.5,239.0,220.0,19.0,California
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,7.0,258.0,220.0,38.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,11.0,257.0,220.0,37.0,Virginia
2018-12-23,December,2018,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,8.0,233.0,220.0,13.0,Nevada
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,12.0,266.0,220.0,46.0,California
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,7.0,245.0,220.0,25.0,Pennsylvania
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,8.5,235.0,220.0,15.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,6.0,280.0,220.0,60.0,Oregon
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,10.0,235.0,220.0,15.0,North Carolina
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,11.5,294.0,220.0,74.0,Missouri
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,9.5,250.0,220.0,30.0,Florida
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,7.5,235.0,220.0,15.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,9.5,235.0,220.0,15.0,California
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,4.5,259.0,220.0,39.0,Illinois
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,13.0,250.0,220.0,30.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,8.0,235.0,220.0,15.0,Texas
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,11.0,284.0,220.0,64.0,New Jersey
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,8.0,235.0,220.0,15.0,Missouri
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,6.0,280.0,220.0,60.0,Illinois
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,8.0,230.0,220.0,10.0,Wisconsin
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,10.5,250.0,220.0,30.0,California
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,7.5,235.0,220.0,15.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,12.5,304.0,220.0,84.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,10.5,250.0,220.0,30.0,Florida
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,10.0,235.0,220.0,15.0,Texas
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,7.0,240.0,220.0,20.0,Illinois
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,4.0,325.0,220.0,105.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,7.0,269.0,220.0,49.0,New York
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,8.0,290.0,220.0,70.0,New York
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,9.5,320.0,220.0,100.0,California
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,7.0,348.0,220.0,128.0,California
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,12.0,330.0,220.0,110.0,Michigan
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,10.5,315.0,220.0,95.0,Tennessee
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,9.0,310.0,220.0,90.0,Florida
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,8.0,240.0,220.0,20.0,New York
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,10.0,317.0,220.0,97.0,Ohio
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,5.0,390.0,220.0,170.0,Massachusetts
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,10.0,315.0,220.0,95.0,New York
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,11.0,316.0,220.0,96.0,Arizona
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,10.5,299.0,220.0,79.0,New York
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,6.0,410.0,220.0,190.0,Texas
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,12.0,337.0,220.0,117.0,Florida
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,4.5,364.0,220.0,144.0,California
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,12.0,336.0,220.0,116.0,Illinois
2018-12-23,December,2018,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,10.0,316.0,220.0,96.0,California
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,10.0,250.0,220.0,30.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,11.5,304.0,220.0,84.0,Tennessee
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,14.0,289.0,220.0,69.0,Arizona
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,10.5,260.0,220.0,40.0,California
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,14.0,289.0,220.0,69.0,California
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,8.0,249.0,220.0,29.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,7.0,230.0,220.0,10.0,Texas
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,10.5,273.0,220.0,53.0,Missouri
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,10.0,235.0,220.0,15.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,7.0,230.0,220.0,10.0,New York
2018-12-23,December,2018,2018-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Sesame,8.5,235.0,220.0,15.0,New York
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,10.5,231.0,220.0,11.0,Minnesota
2018-12-23,December,2018,2017-11-18, Yeezy,Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,11.0,254.0,220.0,34.0,Florida
